Setting,Scenario,Protocol,Runs,Goodput_Mbps_Mean,Goodput_Mbps_CI95,Delay_ms_Mean,Delay_ms_CI95,Loss_pct_Mean,Loss_pct_CI95,Jitter_ms_Mean,Jain_Mean,Util_Mean
udp_burst,wan_longhaul,TcpNewReno,3,598.493822,0.000000,28.805383,0.000000,0.184088,0.000000,0.015609,0.985684,0.598494
udp_burst,wan_longhaul,TcpSwift,3,736.101356,0.000000,39.790280,0.000000,0.000000,0.000000,0.046943,1.000000,0.736101
udp_burst,wan_metro,TcpBbr,3,715.373210,83.797049,5.499915,0.435924,0.000000,0.000000,0.006213,0.770264,0.715373
udp_burst,wan_metro,TcpCubic,3,800.250597,0.000000,6.683149,0.000000,0.000000,0.000000,0.044522,0.999940,0.800251
udp_burst,wan_metro,TcpNewReno,3,798.847799,0.000000,6.873795,0.000000,0.000000,0.000000,0.043985,0.999954,0.798848
udp_burst,wan_metro,TcpSwift,3,775.769351,0.000000,3.433815,0.000000,0.000000,0.000000,0.026934,0.947968,0.775769
udp_burst,wifi_n,TcpBbr,3,37.998845,0.215351,76.026937,6.388148,0.000000,0.000000,0.167867,0.999836,0.759977
udp_burst,wifi_n,TcpCubic,3,37.498667,0.000000,38.143780,0.000000,0.000000,0.000000,0.454797,0.999796,0.749973
udp_burst,wifi_n,TcpNewReno,3,35.817786,0.000000,37.719804,0.000000,0.000000,0.000000,0.423394,0.999610,0.716356
udp_burst,wifi_n,TcpSwift,3,34.150319,0.000000,31.820864,0.000000,0.000000,0.000000,0.432758,0.969386,0.683006
