Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,satellite_geo,TcpCubic,42,8.432215,0.843222,429.405623,1.887435,0.000000,0.912603,comparison/satellite_geo_TcpCubic_s42.flowmonitor
tcp_only,satellite_geo,TcpCubic,43,8.432215,0.843222,429.405623,1.887435,0.000000,0.912603,comparison/satellite_geo_TcpCubic_s43.flowmonitor
tcp_only,satellite_geo,TcpCubic,44,8.432215,0.843222,429.405623,1.887435,0.000000,0.912603,comparison/satellite_geo_TcpCubic_s44.flowmonitor
tcp_only,satellite_geo,TcpNewReno,42,7.497922,0.749792,352.007934,1.531657,0.000000,0.958732,comparison/satellite_geo_TcpNewReno_s42.flowmonitor
tcp_only,satellite_geo,TcpNewReno,43,7.497922,0.749792,352.007934,1.531657,0.000000,0.958732,comparison/satellite_geo_TcpNewReno_s43.flowmonitor
tcp_only,satellite_geo,TcpNewReno,44,7.497922,0.749792,352.007934,1.531657,0.000000,0.958732,comparison/satellite_geo_TcpNewReno_s44.flowmonitor
tcp_only,satellite_geo,TcpSwift,42,8.696393,0.869639,546.917918,3.167855,0.000000,0.995566,comparison/satellite_geo_TcpSwift_s42.flowmonitor
tcp_only,satellite_geo,TcpSwift,43,8.696393,0.869639,546.917918,3.167855,0.000000,0.995566,comparison/satellite_geo_TcpSwift_s43.flowmonitor
tcp_only,satellite_geo,TcpSwift,44,8.696393,0.869639,546.917918,3.167855,0.000000,0.995566,comparison/satellite_geo_TcpSwift_s44.flowmonitor
tcp_only,wan_longhaul,TcpBbr,42,967.243155,0.967243,57.577937,0.004084,0.514996,0.997480,comparison/wan_longhaul_TcpBbr_s42.flowmonitor
tcp_only,wan_longhaul,TcpBbr,43,956.074483,0.956074,65.609365,0.004720,0.514615,0.998215,comparison/wan_longhaul_TcpBbr_s43.flowmonitor
tcp_only,wan_longhaul,TcpBbr,44,960.875716,0.960876,65.186160,0.004248,0.518391,0.997757,comparison/wan_longhaul_TcpBbr_s44.flowmonitor
tcp_only,wan_longhaul,TcpCubic,42,968.008599,0.968009,30.682391,0.025032,0.000000,0.999336,comparison/wan_longhaul_TcpCubic_s42.flowmonitor
tcp_only,wan_longhaul,TcpCubic,43,968.008599,0.968009,30.682391,0.025032,0.000000,0.999336,comparison/wan_longhaul_TcpCubic_s43.flowmonitor
tcp_only,wan_longhaul,TcpCubic,44,968.008599,0.968009,30.682391,0.025032,0.000000,0.999336,comparison/wan_longhaul_TcpCubic_s44.flowmonitor
tcp_only,wan_longhaul,TcpNewReno,42,811.316731,0.811317,27.285774,0.012858,0.000000,0.946461,comparison/wan_longhaul_TcpNewReno_s42.flowmonitor
tcp_only,wan_longhaul,TcpNewReno,43,811.316731,0.811317,27.285774,0.012858,0.000000,0.946461,comparison/wan_longhaul_TcpNewReno_s43.flowmonitor
tcp_only,wan_longhaul,TcpNewReno,44,811.316731,0.811317,27.285774,0.012858,0.000000,0.946461,comparison/wan_longhaul_TcpNewReno_s44.flowmonitor
tcp_only,wan_longhaul,TcpSwift,42,963.636750,0.963637,39.209944,0.036232,0.000000,0.999952,comparison/wan_longhaul_TcpSwift_s42.flowmonitor
tcp_only,wan_longhaul,TcpSwift,43,963.636750,0.963637,39.209944,0.036232,0.000000,0.999952,comparison/wan_longhaul_TcpSwift_s43.flowmonitor
tcp_only,wan_longhaul,TcpSwift,44,963.636750,0.963637,39.209944,0.036232,0.000000,0.999952,comparison/wan_longhaul_TcpSwift_s44.flowmonitor
tcp_only,wan_metro,TcpBbr,42,955.346969,0.955347,5.254038,0.002444,0.000000,0.658346,comparison/wan_metro_TcpBbr_s42.flowmonitor
tcp_only,wan_metro,TcpBbr,43,957.824131,0.957824,5.439866,0.002397,0.000000,0.888791,comparison/wan_metro_TcpBbr_s43.flowmonitor
tcp_only,wan_metro,TcpBbr,44,960.042127,0.960042,5.227798,0.002385,0.000000,0.660500,comparison/wan_metro_TcpBbr_s44.flowmonitor
tcp_only,wan_metro,TcpCubic,42,997.159671,0.997160,7.173687,0.035726,0.000000,0.999970,comparison/wan_metro_TcpCubic_s42.flowmonitor
tcp_only,wan_metro,TcpCubic,43,997.159671,0.997160,7.173687,0.035726,0.000000,0.999970,comparison/wan_metro_TcpCubic_s43.flowmonitor
