2026-09-10T05:51:53Z | logs/manifest.json | all scenarios | all protocols | recorded size and SHA-256 metadata are stale for plots/summary.csv, plots-udp/summary.csv, and summary/kpi_forward.csv; current CSV metrics were independently reproduced from all 288 FlowMonitor XML files within rounding tolerance | none (manifest integrity metadata only)
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_25g_TcpCubic_s42.flowmonitor | oversub_2to1_25g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_25g_TcpBbr_s42.flowmonitor | oversub_2to1_25g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_50g_TcpSwift_s42.flowmonitor | oversub_2to1_50g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_50g_TcpNewReno_s42.flowmonitor | oversub_2to1_50g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_50g_TcpCubic_s42.flowmonitor | oversub_2to1_50g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_2to1_50g_TcpBbr_s42.flowmonitor | oversub_2to1_50g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_light_TcpSwift_s42.flowmonitor | congested_light | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_light_TcpNewReno_s42.flowmonitor | congested_light | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_light_TcpCubic_s42.flowmonitor | congested_light | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/congested_light_TcpBbr_s42.flowmonitor | congested_light | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
